藥品代碼,藥品名稱,數量,支付價,藥商
A000015421,SULFAMETHOXAZOLE ， 眼用液劑 ， 20.00  MG/ML ， 5.00 ML,238.0,8.8,五福化學製藥股份有限公司
A000023100,ISONIAZID ， 一般錠劑膠囊劑 ， 100.00 MG,3.0,0.5,中國化學製藥股份有限公司新豐工廠
A000072100,EPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,5778.0,0.56,黃氏製藥股份有限公司
A000076100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 300.00 MG,1782037.7,0.5,福元化學製藥股份有限公司
A000096100,DIPHENHYDRAMINE ， 一般錠劑膠囊劑 ， 50.00 MG,596795.2,0.48,強生化學製藥廠股份有限公司
A000098100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,13.5,0.4,瑞士藥廠股份有限公司
A000106100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,5385.2,1.43,健喬信元醫藥生技股份有限公司
A000137151,GLYCYRRHIZIC ACID 0.12ML/ML + ANTIMONY POTASSIUM TARTRATE 0.24MG/ML， 口服液劑， 60.00ML,1346.0,5.52,華盛頓製藥廠股份有限公司
A000173100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,9122714.7,0.6,福元化學製藥股份有限公司
A000177100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 250.00 MG,1056.0,0.75,強生化學製藥廠股份有限公司
A000186100,ESTRADIOL 50MCG + NORGESTREL 500MCG， 一般錠劑膠囊劑，,1377.0,2.38,臺灣赫美龍股份有限公司
A000199100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,100.6,3.46,賽諾菲股份有限公司
A000208100,DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG， 一般錠劑膠囊劑，,286993.3,0.85,輝瑞大藥廠股份有限公司
A000315100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,62.4,0.34,金馬化學製藥股份有限公司
A000373100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,162.0,2,永信藥品工業股份有限公司
A000389100,DIMETHICONE ， 一般錠劑膠囊劑 ， 40.00 MG,1441747.0,0.2,強生化學製藥廠股份有限公司
A000415100,DIMETHICONE ， 一般錠劑膠囊劑 ， 40.00 MG,38468945.3,0.3,福元化學製藥股份有限公司
A000419229,DEXAMETHASONE ， 注射劑 ， 20.00 MG,7.0,9.2,新東化學製藥股份有限公司
A000428100,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,333.0,1,信隆藥品工業股份有限公司
A000429100,NALIDIXIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,354.0,2.6,豐田藥品股份有限公司
A000480209,EPINEPHRINE ， 注射劑 ， 1.00 MG,9.0,3.85,中國化學製藥股份有限公司新豐工廠
A000506100,NIACINAMIDE (=NICOTINAMIDE) 50.000MG + CALCIUM PHOSPHATE DIBASIC 50.000MG + VITAMIN A (PALMITATE) 2500.000IU + THIAMINE MONONITRATE 10.000MG + RIBOFLAVIN (=VIT B2) 5.000MG + PYRIDOXINE HCL 5.000MG， 一般錠劑膠囊劑,39.0,1.5,台灣?野義製藥股份有限公司
A000518100,OXYTETRACYCLINE ， 一般錠劑膠囊劑 ， 250.00 MG,4831.0,1.09,大安化學製藥股份有限公司
A000519100,TETRACYCLINE ， 一般錠劑膠囊劑 ， 250.00 MG,9.0,1,大安化學製藥股份有限公司
A000541100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,27.0,1.5,應元化學製藥股份有限公司
A000572100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,2754.0,0.62,中國化學製藥股份有限公司新豐工廠
A000575100,PARAMETHASONE ， 一般錠劑膠囊劑 ， 2.00 MG,15.0,3.2,台灣田邊製藥股份有限公司新竹廠
A000582221,CHLORPHENIRAMINE 0.6MG/ML + VITAMIN B2  2MG/ML + VITAMIN B6 2MG/ML + BIOTIN 100MCG/ML + GLYCYRRHIZIC ACID 2MG/ML， 注射劑， 5.00ML,171.5,3.5,國信藥品股份有限公司
A000587100,DOXYCYCLINE ， 一般錠劑膠囊劑 ， 50.00 MG,104.0,8,輝瑞大藥廠股份有限公司
A000604151,DEXTROMETHORPHAN 2.5MG/ML + POTASSIUM CRESOLSULFONATE 15MG/ML， 內服液劑， 60.00ML,4218.3,42,晟德大藥廠股份有限公司
A000647100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 2.00 MG,289.5,0.32,生達化學製藥股份有限公司
A000742199,CLOPERASTINE ， 口服顆粒劑 ， 177.00 MG,14661.0,6.43,台灣武田藥品工業股份有限公司
A000749100,BELLADONNA ALKALOID 4MG + ALUMINUM HYDROXIDE 100MG， 一般錠劑膠囊劑，,54249.0,0.47,明華化學製藥廠股份有限公司
A000822157,DEXTROMETHORPHAN HBR  0.5MG/ML+ AMMONIUM CHLORIDE 2MG/ML+ CHLORPHENIRAMINE MALEATE  0.15MG/ML+METHYLEPHEDRINE DL- HCL  0.4MG/ML+ POTASSIUM GUAIACOLSULFONATE 6MG/ML，口服液劑，120ML,39.0,31,龍杏生技製藥股份有限公司
A000844100,MEPENZOLATE ， 一般錠劑膠囊劑 ， 7.50 MG,59.0,2,台灣安斯泰來製藥股份有限公司
A000849100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,83.0,1.43,利達製藥股份有限公司
A000862100,MAGNESIUM OXIDE 70MG + SODIUM BICARBONATE 200MG， 一般錠劑膠囊劑，,62.0,0.5,福元化學製藥股份有限公司
A000895100,DIAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,202.5,0.8,約克製藥股份有限公司
A000900100,PROPRANOLOL ， 一般錠劑膠囊劑 ， 10.00 MG,6.0,0.24,佑寧生物科技股份有限公司
A000902100,INOSITOL ， 一般錠劑膠囊劑 ， 200.00 MG,27.0,1.5,台灣武田藥品工業股份有限公司
A000933100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,249.0,0.35,南亞藥品化學股份有限公司
A000985100,VITAMIN B1 50MG + VITAMIN B2 2-5MG， 一般錠劑膠囊劑,148.0,0.73,三東生物科技股份有限公司
A000998100,DIMETHICONE 36.7MG + ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG， 一般錠劑膠囊劑，,7989.0,1.05,輝瑞大藥廠股份有限公司
A001001100,SERRAPEPTASE ， 一般錠劑膠囊劑 ， 5.00 MG,4864.2,3.3,台灣武田藥品工業股份有限公司
A0010011G0,SERRAPEPTASE ， 一般錠劑膠囊劑 ， 5.00 MG,429.0,1.5,台灣武田藥品工業股份有限公司
A001046100,MAGNESIUM OXIDE ， 一般錠劑膠囊劑 ， 250.00 MG,853807.7,0.32,華琳實業有限公司
A0010471G0,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,9.0,1.5,杏林新生製藥股份有限公司
A001057100,GUAIFENESIN ， 一般錠劑膠囊劑 ， 100.00 MG,5045.3,0.33,內外化學工業股份有限公司
A001059100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,80.5,0.69,三東生物科技股份有限公司
A001068100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,8.0,1.2,新東化學製藥股份有限公司
A001112100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,173.0,1.29,嘉林藥品有限公司
A001155100,PHENOBARBITAL ， 一般錠劑膠囊劑 ， 30.00 MG,175.5,0.68,人生製藥股份有限公司
A0011921G0,ETILEFRIN ， 一般錠劑膠囊劑 ， 5.00 MG,4.5,1.5,瑞士藥廠股份有限公司
